Date,Interval,Calls,day_of_week,#_day_of_week,#_intervals,#_int_in_hour,Calls\hours,Month,Year,dataNorm,dataNorm2,first_diff,first_diff2
2017-01-16,4528,4391,Monday,0,91,22.75,193,1,2017,1.0562905941784941,0.418299109588374,0.6362761606928073,2.2453252770914656
2017-01-17,4464,4354,Tuesday,1,94,23.5,185,1,2017,1.0473899446716382,0.41752602828655566,-0.008900649506855984,-0.0007730813018183569
2017-01-18,4355,4369,Wednesday,2,92,23.0,189,1,2017,1.0509983160933365,0.4422916545140263,0.003608371421698342,0.02476562622747064
2017-01-19,4525,4309,Thursday,3,92,23.0,187,1,2017,1.0365648304065431,0.4018118020610235,-0.014433485686793368,-0.040479852453002785
2017-01-20,4530,4564,Friday,4,92,23.0,198,1,2017,1.097907144575415,0.7145614675078412,0.061342314168871814,0.3127496654468177
2017-01-21,4560,2678,Saturday,5,96,24.0,111,1,2017,0.6442145778205437,-0.9930342723852246,-0.45369256675487124,-1.707595739893066
2017-01-22,4560,1649,Sunday,6,96,24.0,68,1,2017,0.39668029829203755,-1.8630916540256042,-0.24753427952850615,-0.8700573816403796
2017-01-23,4336,4390,Monday,0,89,22.25,197,1,2017,1.0560500360837142,0.5571695238206366,0.6593697377916766,2.420261177846241
2017-01-24,4545,4157,Tuesday,1,95,23.75,175,1,2017,1.0,0.38129850527714204,-0.05605003608371417,-0.17587101854349452
2017-01-25,4460,4304,Wednesday,2,92,23.0,187,1,2017,1.0353620399326438,0.5239183453951768,0.03536203993264375,0.14261984011803475
2017-01-26,4549,4279,Thursday,3,95,23.75,180,1,2017,1.0293480875631464,0.5064637153035705,-0.006013952369497311,-0.017454630091606305
2017-01-27,4532,4557,Friday,4,93,23.25,196,1,2017,1.0962232379119556,0.7586284104907062,0.0668751503488092,0.2521646951871357
2017-01-28,4560,2757,Saturday,5,96,24.0,114,1,2017,0.6632186673081549,-0.8853927997068406,-0.4330045706038007,-1.6440212101975469
2017-01-29,4560,1804,Sunday,6,96,24.0,75,1,2017,0.4339668029829204,-1.8571055799449603,-0.22925186432523453,-0.9717127802381197
2017-01-30,4440,4485,Monday,0,90,22.5,199,1,2017,1.0789030550878036,0.682178789343443,0.6449362521048831,2.5392843692884033
2017-01-31,4444,4410,Tuesday,1,93,23.25,189,1,2017,1.060861197979312,0.566506968435879,-0.018041857108491488,-0.115671820907564
2017-02-01,4536,4257,Wednesday,2,92,23.0,185,2,2017,1.024055809477989,0.4321927520480563,-0.03680538850132309,-0.1343142163878227
2017-02-02,4554,4491,Thursday,3,95,23.75,189,2,2017,1.080346403656483,0.6111205056189871,0.05629059417849391,0.17892775357093083
2017-02-03,4553,4865,Friday,4,95,23.75,204,2,2017,1.1703151311041617,0.8808365580071843,0.08996872744767881,0.2697160523881972
2017-02-04,4560,3012,Saturday,5,96,24.0,125,2,2017,0.7245609814770267,-0.8142140874524871,-0.445754149627135,-1.6950506454596714
2017-02-05,4560,1863,Sunday,6,96,24.0,77,2,2017,0.44815973057493386,-1.9040665589834316,-0.2764012509020929,-1.0898524715309446
2017-02-06,4551,4409,Monday,0,94,23.5,187,2,2017,1.0606206398845321,0.47491702454035756,0.6124609093095983,2.378983583523789
2017-02-07,4520,4185,Tuesday,1,91,22.75,183,2,2017,1.006735626653837,0.2996337745951717,-0.05388501323069517,-0.17528324994518585
2017-02-08,4558,4125,Wednesday,2,95,23.75,173,2,2017,0.9923021409670435,0.26236425213140063,-0.014433485686793479,-0.037269522463771076
